,xi,xf
0,19.65248462256202,2.391720875345049
1,2.8758245580638944,34.51603943842679
2,35.85496065365438,42.17091421349056
3,7.318998931667259,49.636280979066846
4,29.082235915834882,33.520961794541144
5,28.471870111638157,35.58952808586391
6,23.346657805726718,0.11406380590426868
7,16.50860769590877,39.54643719509618
8,38.76164819342853,37.26226278917888
9,37.58517015946294,25.45296923079886
10,40.76106114338828,8.624154927044309
11,43.86843679641564,36.05764506533854
12,27.807909987695385,18.439418629137087
13,41.69012617176987,9.388168031447657
14,45.32900540454505,32.0784224723473
15,44.707679877030145,6.141814831147801
16,18.149494828781986,22.533550165737353
17,39.58293148761446,6.79832027409204
18,21.392439763806603,19.407675417719837
19,41.52406440507898,16.974107365045015
20,46.36288936479157,35.182234963123975
21,38.030188220789114,18.211190845252222
22,7.500935994336199,30.271179453535197
23,38.01131840669333,2.626323257294094
24,10.271263911219192,23.131404074542992
25,20.600442763360405,6.502384338508838
26,23.210282713907255,35.11854603407333
27,33.45251077372316,13.722671817093085
28,45.930824521996655,20.59963691241755
29,36.998522015827525,0.9718758044233666
30,27.003328106776358,13.819439065832729
31,3.2922873446705747,3.137744525064451
32,18.60645391537873,27.134343384700827
33,45.13545912579783,15.191965152245995
34,6.762287897801028,36.92511078804645
35,45.56975371790096,6.022947043239513
36,32.3686770311185,11.938491189667921
37,12.931681104784754,23.547842886161973
38,35.75527354480588,30.11490361996393
39,16.277503331752037,43.27041593208265
40,1.1452885963209258,46.30225174148846
41,28.32675357159424,7.305041430765435
42,1.5575266272703336,32.26367135618673
43,30.401147407066198,7.544691308772533
44,19.0581922121661,10.000604636115773
45,38.502270571203276,29.189485106090533
46,28.20270762703559,10.789053308337992
47,35.61997464425898,35.66133700408538
48,35.18832250239598,42.14945045296699
49,45.9866692338265,36.67455338986992
