,mean1,mean2,width,height,angle
0,-26.88678868729835,-73.0154811751313,-42.60715160289982,-174.54599415139256,174.5814932447833
1,-95.78987532783225,-29.681974123023537,-28.59522993603997,125.030298876436,111.32528272206491
2,-50.05447769577074,48.06110983463583,-5.987897556475076,129.3120103917517,18.01851385789609
3,78.27144805410023,67.12189121206399,-82.21555139703794,-64.10594155819119,17.18769132938922
4,-151.20075936913514,-110.81026955697007,112.54840555127583,172.85157816077128,38.961065267231305
5,-24.008584196756374,-168.84565349892668,179.3046722157929,-139.19459199226918,159.70011659462762
6,-91.46302302823459,73.00113124928632,87.07960921847166,-120.2035163260094,141.66398474687978
7,-136.71007762884372,6.045011817352645,-105.01617481701679,169.0224883956629,25.843676929681646
8,104.5060268156177,-65.35206194222782,102.29800167424457,163.58724767571982,52.98382986292174
9,-173.1285892041321,44.31641217954464,-81.59339028804712,149.28482043111495,26.608991825158135
10,-38.155462501937876,-29.193103266098632,30.78821233620411,-177.22678056315414,151.2338636135483
11,16.805309101780665,-96.63403663672587,134.405760487323,-74.80534338110469,121.13033174488083
12,144.14589429967498,-58.278771592833635,-108.78636310962106,61.70099766007266,57.68808927713855
13,-170.74856740051428,-154.98991324716056,-155.94803678465982,24.83224003721159,136.7735340825866
14,-156.5783343357784,-123.8897023369962,2.8263758270839503,-47.897493500540776,0.3151403421974486
15,-36.63775614243394,-122.44246617061677,-122.32715222510167,168.89281638521499,78.12314205368051
16,167.0527581044725,-144.56867178046292,-45.23377408706307,-46.66589553919795,97.23632596652769
17,42.05332542057272,-113.53029606138593,-13.291845652753722,145.5260815453468,93.70672243970846
18,-101.19355880263991,126.44844215928305,-98.13111213555476,-82.4537840990178,14.88149138854622
19,28.839920429239356,-4.7999873572700835,-153.53027122555017,-31.649773620107283,76.3749026707038
20,-101.49119284810486,136.3420099489777,-145.86895642635253,174.37056099316874,102.49030534639854
21,-13.60180199549356,176.21204809085663,81.23403588387146,-174.15056244164623,41.88137346421768
22,-123.319103433876,-120.89901988642538,-100.19210875372362,-124.52271983328919,152.1183608519834
23,43.70528364379268,-148.33386514999495,164.35526584336117,-114.0132447551483,78.76271884869995
24,-148.2444384523246,-179.6355535323672,176.02296646226216,-37.37522647867206,151.9454868820104
25,-130.36352117465552,-171.32406065403848,122.34920886034081,4.032895776338819,138.7063528707607
26,81.13933974558267,-52.680582665480784,116.27402682085778,15.439197644035602,122.12217470048239
27,5.085474382022397,-137.19218525698713,124.7537809159702,94.59829346080102,77.35584685186276
28,49.21985341945788,27.352819419740428,6.5610069491779655,-38.21334482786992,174.68094410796218
29,142.0825158961838,-107.62505815694985,-104.3996488272801,75.19305449432508,99.38866060362132
30,-87.34632456534712,21.65864815098405,16.40392344009686,-159.8896669667574,56.76286354299261
31,-151.30886140709276,-34.786113504582005,-164.91255552653473,6.940443131296291,84.3347098266352
32,-60.837641767259015,-103.3717824626413,-115.24665002037885,15.183220400116937,111.48394457237546
33,40.26351366017013,-20.464065949911628,127.280175580184,2.8917743375809266,130.797228829327
34,-160.88030954941283,34.536770426388955,-140.38199263532002,-107.45568330280234,110.57563831943828
